"key"	"raw_line"	"raw_action"	"verified_target"	"status"	"subsystem"	"patch_style"	"remarks"
"PoliceEpisodicWeaponSupport"	"957"	"FUN_1001bec0"	"InstallPoliceEpisodicWeaponSupportPatch"	"verified_installer"	"episode_vehicle"	"branch_nop_patch"	""
"PipeBombDropIconSupport"	"965"	"FUN_1001be40"	"InstallPipeBombDropIconSupportPatch"	"verified_installer"	"episode_vehicle"	"branch_nop_patch"	""
"EpisodeSwitchFreezeFix"	"973"	"FUN_1001b0e0"	"InstallEpisodeSwitchFreezeFixPatch"	"verified_installer"	"episode_vehicle"	"custom_hook"	""
"CombinedRadioFreezeFix"	"981"	"FUN_10005ee0"	"InstallCombinedRadioFreezeFixPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"AllowHashesForIDE"	"989"	"FUN_10022cf0"	"InstallAllowHashesForIDEPatch"	"verified_installer"	"compat_startup"	"custom_hook"	""
"PathNodeCrashFix"	"997"	"FUN_1003d7d0"	"InstallPathNodeCrashFixPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"LoadDLCs"	"1020"	"FUN_100234e0"	"InstallLoadDLCsPatch"	"verified_installer"	"compat_startup"	"custom_hook"	""
"BenchmarkFix"	"1028"	"FUN_10005690"	"InstallBenchmarkFixPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"CollisionDeadlockFix"	"1036"	"FUN_10005e30"	"InstallCollisionDeadlockFixPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"AimProjectileCrashFix"	"1044"	"FUN_100055c0"	"InstallAimProjectileCrashFixPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"FreezeCarFix"	"1052"	"FUN_1005c160"	"GetConfigValueStringOrDefault"	"helper_misattribution"	"unknown"	"helper_or_gate"	"raw matrix points to config helper, installer not verified"
"DebugPrintSpawns"	"1058"	"FUN_10037c70"	"InstallDebugPrintSpawnsPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"BadPlayerModelCrashFix"	"1068"	"FUN_10037be0"	"InstallBadPlayerModelCrashFixPatch"	"verified_installer"	"stability_crash"	"verified_behavior_pending_bucket"	""
"HighFPSBikePhysicsFix"	"1076"	"FUN_1001efa0"	"InstallHighFPSBikePhysicsFixPatch"	"verified_installer"	"gameplay_capacity"	"custom_hook"	""
"HighFPSSpeedupFix"	"1084"	"FUN_10023b30"	"InstallHighFPSSpeedupFixPatch"	"verified_installer"	"gameplay_capacity"	"multi_branch_patch"	""
"BuildingAlphaFix"	"1092"	"FUN_10005ca0"	"InstallBuildingAlphaFixPatch"	"verified_installer"	"graphics_render"	"branch_nop_patch"	""
"BetterMPSync"	"1100"	"FUN_10005800"	"InstallBetterMPSyncPatch"	"verified_installer"	"gameplay_capacity"	"custom_hook"	""
